"avatarThumbnail","cid","createTime","createTimeISO","detailedMentions/0/nickName","detailedMentions/0/profileUrl","detailedMentions/0/secUid","detailedMentions/0/userId","detailedMentions/1/nickName","detailedMentions/1/profileUrl","detailedMentions/1/secUid","detailedMentions/1/userId","detailedMentions/2/nickName","detailedMentions/2/profileUrl","detailedMentions/2/secUid","detailedMentions/2/userId","detailedMentions/3/nickName","detailedMentions/3/profileUrl","detailedMentions/3/secUid","detailedMentions/3/userId","detailedMentions/4/nickName","detailedMentions/4/profileUrl","detailedMentions/4/secUid","detailedMentions/4/userId","detailedMentions/5/nickName","detailedMentions/5/profileUrl","detailedMentions/5/secUid","detailedMentions/5/userId","detailedMentions/6/nickName","detailedMentions/6/profileUrl","detailedMentions/6/secUid","detailedMentions/6/userId","detailedMentions/7/nickName","detailedMentions/7/profileUrl","detailedMentions/7/secUid","detailedMentions/7/userId","detailedMentions/8/nickName","detailedMentions/8/profileUrl","detailedMentions/8/secUid","detailedMentions/8/userId","detailedMentions/9/nickName","detailedMentions/9/profileUrl","detailedMentions/9/secUid","detailedMentions/9/userId","detailedMentions/10/nickName","detailedMentions/10/profileUrl","detailedMentions/10/secUid","detailedMentions/10/userId","detailedMentions/11/nickName","detailedMentions/11/profileUrl","detailedMentions/11/secUid","detailedMentions/11/userId","detailedMentions/12/nickName","detailedMentions/12/profileUrl","detailedMentions/12/secUid","detailedMentions/12/userId","detailedMentions/13/nickName","detailedMentions/13/profileUrl","detailedMentions/13/secUid","detailedMentions/13/userId","detailedMentions/14/nickName","detailedMentions/14/profileUrl","detailedMentions/14/secUid","detailedMentions/14/userId","diggCount","input","likedByAuthor","mentions/0","mentions/1","mentions/2","mentions/3","mentions/4","mentions/5","mentions/6","mentions/7","mentions/8","mentions/9","mentions/10","mentions/11","mentions/12","mentions/13","mentions/14","pinnedByAuthor","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/840e92a911938aabdee8743082a74faf~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e1d910d9&x-expires=1762754400&x-signature=B%2BwuI5wT%2FWtWWWzdoTPLQ4IZjt4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7495744801334674194","1745239098","2025-04-21T12:38:18.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3642","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673?q=ng%C6%B0%E1%BB%9Di%20b%E1%BB%87nh%20tic&t=1762337874917","true",,,,,,,,,,,,,,,,"false",,"2","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673?q=ng%C6%B0%E1%BB%9Di%20b%E1%BB%87nh%20tic&t=1762337874917","thuong những người mắc bệnh Tic..","7481996410025198610","_thichhocnganhy_official","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ee1a53a49ad49b2b4a0d2b8b362d53b3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a6066952&x-expires=1762754400&x-signature=UE2x5cuE0lffiyBK0ccpQH8YQHU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7495594297883050760","1745204062","2025-04-21T02:54:22.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2999","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673?q=ng%C6%B0%E1%BB%9Di%20b%E1%BB%87nh%20tic&t=1762337874917","true",,,,,,,,,,,,,,,,"false",,"4","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673?q=ng%C6%B0%E1%BB%9Di%20b%E1%BB%87nh%20tic&t=1762337874917","Có ai như mình thấy thương 🥺chứ không thấy buồn cười","6910590776973444098","phamsyhiep642002","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/24b116c599c433da42734d853adaa59c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ddeaa8f4&x-expires=1762754400&x-signature=37L8iJuXyGhOdcPRItEjmzLPYHo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7495609182562501383","1745207532","2025-04-21T03:52:12.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"845","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673?q=ng%C6%B0%E1%BB%9Di%20b%E1%BB%87nh%20tic&t=1762337874917","true",,,,,,,,,,,,,,,,"false",,"1","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673?q=ng%C6%B0%E1%BB%9Di%20b%E1%BB%87nh%20tic&t=1762337874917","hãy tôn trọng họ","7122478618794476545","dokoco.o","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/3d77c6be8cbbce1211f97feb3237c87d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=94758c19&x-expires=1762754400&x-signature=ESff7TiW4OpiP6%2BfDcrvDzM1sss%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7495594702122763025","1745204179","2025-04-21T02:56:19.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673?q=ng%C6%B0%E1%BB%9Di%20b%E1%BB%87nh%20tic&t=1762337874917","false",,,,,,,,,,,,,,,,"false",,"2","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673?q=ng%C6%B0%E1%BB%9Di%20b%E1%BB%87nh%20tic&t=1762337874917","tội","7190758505895543834","phm.vy_cuti","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/cf1685b1dd23ef2f4b9ea3543ed77695~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a4354ef1&x-expires=1762754400&x-signature=W7olWZ5dRvH%2FNIFvu4jJo49Id58%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7495642073266291463","1745215180","2025-04-21T05:59:40.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"420","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673?q=ng%C6%B0%E1%BB%9Di%20b%E1%BB%87nh%20tic&t=1762337874917","true",,,,,,,,,,,,,,,,"false",,"16","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673?q=ng%C6%B0%E1%BB%9Di%20b%E1%BB%87nh%20tic&t=1762337874917","Ê đứa nào cười được t cx nể á….","7444462973260727352","binbindepzaiqua","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e105c8ba3be8f70c8628891f5f3654ed~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6f9888c1&x-expires=1762754400&x-signature=qpPQt%2BtzWJoUO74tWAY0tOdSVjQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7495641878131016466","1745215138","2025-04-21T05:58:58.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673?q=ng%C6%B0%E1%BB%9Di%20b%E1%BB%87nh%20tic&t=1762337874917","true",,,,,,,,,,,,,,,,"false",,"1","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673?q=ng%C6%B0%E1%BB%9Di%20b%E1%BB%87nh%20tic&t=1762337874917","thương vch","7411066729390326801","xjng_17","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2ad147f1dc5aa4bfb149fc4e0febe3f1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ffc3a6ed&x-expires=1762754400&x-signature=d5VYMH79O%2B2MlQwLJyhU3lvCNv8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7495636282799457042","1745213839","2025-04-21T05:37:19.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"109","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673?q=ng%C6%B0%E1%BB%9Di%20b%E1%BB%87nh%20tic&t=1762337874917","true",,,,,,,,,,,,,,,,"false",,"1","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673?q=ng%C6%B0%E1%BB%9Di%20b%E1%BB%87nh%20tic&t=1762337874917","ê thấy tội vai","7340572775743341586","byen_11","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b99204573bd9708014884352bb6f34b9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=800c74a1&x-expires=1762754400&x-signature=iShT5BnGXMIEUbxymwh8G0FPCtE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7495709913466618632","1745230976","2025-04-21T10:22:56.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673?q=ng%C6%B0%E1%BB%9Di%20b%E1%BB%87nh%20tic&t=1762337874917","false",,,,,,,,,,,,,,,,"false",,"0","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673?q=ng%C6%B0%E1%BB%9Di%20b%E1%BB%87nh%20tic&t=1762337874917","Cố lên anh nhé","7463809849999377424","still.u_63","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ec230623243da3aa81b7cea1821c74b0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=27abb674&x-expires=1762754400&x-signature=%2Fr26EG2py6tDe5whhiZTAk5SrvE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7495773620292027143","1745245803","2025-04-21T14:30:03.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"160","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673?q=ng%C6%B0%E1%BB%9Di%20b%E1%BB%87nh%20tic&t=1762337874917","false",,,,,,,,,,,,,,,,"false",,"1","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673?q=ng%C6%B0%E1%BB%9Di%20b%E1%BB%87nh%20tic&t=1762337874917","thương những người bệnh Tic","7249254854906971142","c.hnh0107","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/af907fbeb39684dc6e87ab6efd8750f1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cebc6d87&x-expires=1762754400&x-signature=3Y79gKG%2F%2FU4q4l%2FcNG6ZNISvBGI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7496397686514926356","1745391116","2025-04-23T06:51:56.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673?q=ng%C6%B0%E1%BB%9Di%20b%E1%BB%87nh%20tic&t=1762337874917","false",,,,,,,,,,,,,,,,"false",,"2","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673?q=ng%C6%B0%E1%BB%9Di%20b%E1%BB%87nh%20tic&t=1762337874917","mấy đứa bảo mắc cười, sau này hội chứng tic dành cho con tụi bây","7378139035732263954","dkimphung_","https://www.tiktok.com/@popcorntrending.biz/video/7495402859064806673"
