"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"Parky là gì vậy???","240","43","2023-11-20T08:32:34.000Z","omenrungtay","https://www.tiktok.com/@cl.socialbiz/video/7303456471130377473","7240991982872888328","7303459350499394322","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/39d0404ce27b15fc7568c0afc7322a80~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=ec8bc7ae&x-expires=1762304400&x-signature=WdR3txUdZdz9u5eRxtjeFQVRRaU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"Ra Bắc nói parky là 2 viên kẹo đồng :)","487","179","2023-11-20T10:44:00.000Z","baguche","https://www.tiktok.com/@cl.socialbiz/video/7303456471130377473","7061910220906693634","7303493142007284482","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/74ab4d25cf5a1e28301452142a8fdba4~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=f2a1b688&x-expires=1762304400&x-signature=8NzXVA5XmWTWhy0g1wDqWttK0Xs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"ta ở trung kì đây","4","10","2023-11-20T08:34:15.000Z",".20_02_","https://www.tiktok.com/@cl.socialbiz/video/7303456471130377473","6670094190326874114","7303459772950381330","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7331526260838891522~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=a8a9aa5d&x-expires=1762304400&x-signature=8ZRqxFh4F%2BWT4VAYrN3My7EDgPQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"Đọc bl mà chán","380","7","2023-11-21T10:18:00.000Z","minsu_be","https://www.tiktok.com/@cl.socialbiz/video/7303456471130377473","6555420252723904514","7303857598758732562","https://p77-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/55001d053a2e2df6136ee61d3867bf0b~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=a28728e3&x-expires=1762304400&x-signature=bWqCLH3XXNKamITCYnyO%2BDfW%2FDE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"Team ko bt parky là j 🙃","23","9","2023-11-20T13:52:30.000Z","ckj685","https://www.tiktok.com/@cl.socialbiz/video/7303456471130377473","6812298160913089538","7303541816304042760","https://p77-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ba0d155eb2a8633f9997bad32cb71cf2~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=1bb55fb6&x-expires=1762304400&x-signature=W3Ky8z2YUz4NYYGE7dP6xrIQdio%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"Đừng chửi nhau nữa chúng ta là đồng bào mà!","75","14","2023-11-21T12:37:19.000Z","cheems.than.thien","https://www.tiktok.com/@cl.socialbiz/video/7303456471130377473","6622211397856231425","7303893499530576658","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/92d86313cfaf84a945dd29c40ef2116f~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=f2f44164&x-expires=1762304400&x-signature=b87thjGq6FVqQpbVQQIHbDse094%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"Parky cayy","16","14","2024-01-10T12:41:32.000Z","1760kmsao","https://www.tiktok.com/@cl.socialbiz/video/7303456471130377473","7136793196219106305","7322448849519641362","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e7252d6960112081b274daadf544be12~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=721a77b1&x-expires=1762304400&x-signature=SYozmuPmOrBTaGsyuLqOVeZJ8DA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"t là ng tối cổ ko biết parky là ai","8","3","2023-11-21T10:45:07.000Z","ngxtstaif1129_10","https://www.tiktok.com/@cl.socialbiz/video/7303456471130377473","7258455704602903558","7303864580916478728","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ae1482a6e3afb18901c1db17810fbde8~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=67a2333e&x-expires=1762304400&x-signature=1QvruWPj%2BvPxSm%2FXDJ0fXDKc28U%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"parky mang váy","19","11","2023-12-01T10:06:43.000Z","meo.xink333","https://www.tiktok.com/@cl.socialbiz/video/7303456471130377473","7287015373617431570","7307565499822473985","https://p77-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e61f6f2e650f6c881cf8d6f90d774fd6~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=83213df7&x-expires=1762304400&x-signature=2x5mR0B%2FCmBlw9Uid5%2BwEZ6abQo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"parky là sao","4","6","2023-11-21T10:24:59.000Z","dinotz2c","https://www.tiktok.com/@cl.socialbiz/video/7303456471130377473","7038581746674009090","7303859389684810504","https://p77-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/43eb7845308f34a7bf0cb8a30b0b8ce0~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=e73abc26&x-expires=1762304400&x-signature=DnWKP69335mIxkMWvHsrwlrjifM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
