"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"tự hào là ng parky","137","4","2023-12-18T10:14:39.000Z","mamajnifvif","https://www.tiktok.com/@huyenzenda94/video/7307881556188630274","7245284920804656130","7313876009954427656","https://p16-common-sign.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=626e096d&x-expires=1762304400&x-signature=kaL2CfCJn8RYS81Wm7Qy0tSvbrg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"nhìn chấm lâu khó chịu vãi","135","3","2023-12-03T09:19:38.000Z","hvy_cti","https://www.tiktok.com/@huyenzenda94/video/7307881556188630274","7049195369829712898","7308295582501159688","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/21c3a0dd352cd64b32a3d322200e0b07~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=00c66d2e&x-expires=1762304400&x-signature=GOvHzOxuJfWF9WwZ6cVRqAqqgM8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Nhìn bà ăn mà cái răng nó giựt giựt 🥹🥹","92","1","2023-12-02T06:52:50.000Z","lac_1605","https://www.tiktok.com/@huyenzenda94/video/7307881556188630274","6870850550339290114","7307886629451416322","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/02890697a23854d0710f24ce8bd87549~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=23cda897&x-expires=1762304400&x-signature=wCHLioMzSu7RHn%2Bdwyc%2FOT%2F9FAY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Tôi thấy bà này dễ thương mà mn chửi nhiều quá 😊","14","1","2023-12-03T18:14:03.000Z","ngocoanh305","https://www.tiktok.com/@huyenzenda94/video/7307881556188630274","6994046046091985946","7308433213374071554","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/f4435b353b7c8f7dcde80ff222ea5cd7~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1ff92e6d&x-expires=1762304400&x-signature=tF0FVevfaUIgFK2hi%2Fr1xbfLoMY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Ai chửi vậy bà ơi? Ô😄","3",,"2023-12-04T16:54:19.000Z","huyenzenda94","https://www.tiktok.com/@huyenzenda94/video/7307881556188630274","6655818172962848770","7308783796752564993","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/491d92a83bce4a2012d1b99a030d6887~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=30c90d79&x-expires=1762304400&x-signature=2mFoHrjYTiOAlRdw0a8P87Wips4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"parky là gì vậy","9","8","2023-12-18T15:03:17.000Z","thuys223","https://www.tiktok.com/@huyenzenda94/video/7307881556188630274","7186933961313158171","7313950416819389191","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/8226da98739811ebc3ebc08b0356de00~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d24d58b1&x-expires=1762304400&x-signature=%2BlqKX%2Bk31gZxI7%2BCZmrnFjmtXB0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"parky ăn cá rô cây 😂","9","1","2024-02-11T02:28:45.000Z","parky182","https://www.tiktok.com/@huyenzenda94/video/7307881556188630274","7334162281062466567","7334165662321623815","https://p16-common-sign.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=626e096d&x-expires=1762304400&x-signature=kaL2CfCJn8RYS81Wm7Qy0tSvbrg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Đĩa đó c nó phải nhậu 1 tuần đấy","0","0","2023-12-02T07:42:26.000Z","pvtthaibinh17","https://www.tiktok.com/@huyenzenda94/video/7307881556188630274","6850752564738245634","7307899410389353218","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/de7345ed12e93565616f6ae103025b84~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=28d7dd3b&x-expires=1762304400&x-signature=EjOcGk%2B3Q5Cphb8F9QwGV0nL29M%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"chị mặc kiểu này xinh xỉuu","6","0","2023-12-02T07:18:28.000Z","hoangthutra882003","https://www.tiktok.com/@huyenzenda94/video/7307881556188630274","6725377153682916353","7307893268484752130","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/3bbecd5d733f9f27cacd7fce1eebb989~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=91ae712b&x-expires=1762304400&x-signature=VqT%2FnfdwbuaYDNuUL3C%2FqGL34yc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"c đã có nhót ăn rồi 😳","7","0","2023-12-02T13:24:09.000Z","thi.nga1601","https://www.tiktok.com/@huyenzenda94/video/7307881556188630274","7282273672685257730","7307987516837118738","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c0e693e115c73d4d1ddf92d3e8b96f02~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a6461845&x-expires=1762304400&x-signature=ehbpk4yDm7AbJ%2Fyzz6W6zD4D0Y4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
