"avatarThumbnail","cid","createTime","createTimeISO","detailedMentions/0/nickName","detailedMentions/0/profileUrl","detailedMentions/0/secUid","detailedMentions/0/userId","detailedMentions/1/nickName","detailedMentions/1/profileUrl","detailedMentions/1/secUid","detailedMentions/1/userId","detailedMentions/2/nickName","detailedMentions/2/profileUrl","detailedMentions/2/secUid","detailedMentions/2/userId","detailedMentions/3/nickName","detailedMentions/3/profileUrl","detailedMentions/3/secUid","detailedMentions/3/userId","detailedMentions/4/nickName","detailedMentions/4/profileUrl","detailedMentions/4/secUid","detailedMentions/4/userId","detailedMentions/5/nickName","detailedMentions/5/profileUrl","detailedMentions/5/secUid","detailedMentions/5/userId","detailedMentions/6/nickName","detailedMentions/6/profileUrl","detailedMentions/6/secUid","detailedMentions/6/userId","detailedMentions/7/nickName","detailedMentions/7/profileUrl","detailedMentions/7/secUid","detailedMentions/7/userId","detailedMentions/8/nickName","detailedMentions/8/profileUrl","detailedMentions/8/secUid","detailedMentions/8/userId","detailedMentions/9/nickName","detailedMentions/9/profileUrl","detailedMentions/9/secUid","detailedMentions/9/userId","detailedMentions/10/nickName","detailedMentions/10/profileUrl","detailedMentions/10/secUid","detailedMentions/10/userId","detailedMentions/11/nickName","detailedMentions/11/profileUrl","detailedMentions/11/secUid","detailedMentions/11/userId","detailedMentions/12/nickName","detailedMentions/12/profileUrl","detailedMentions/12/secUid","detailedMentions/12/userId","diggCount","input","likedByAuthor","mentions/0","mentions/1","mentions/2","mentions/3","mentions/4","mentions/5","mentions/6","mentions/7","mentions/8","mentions/9","mentions/10","mentions/11","mentions/12","pinnedByAuthor","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/46eb6130e81a1c52e285244b94847a4a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cf240631&x-expires=1762228800&x-signature=p%2FbHgpH%2BjLiyK1OMFdV4Qv6iXbc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7519127357979820818","1750683270","2025-06-23T12:54:30.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6056","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263","false",,,,,,,,,,,,,,"false",,"272","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263","Cha sứ đi trước giặc bước theo sau .","7077819617561641986","heni3008","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263"
"https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/962192698b8c1f001e4a4717aeec7daf~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7bd3afc9&x-expires=1762228800&x-signature=j3sNOC1x8s%2BctzD3T%2FNVL98uQRQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7519313572955079442","1750726629","2025-06-24T00:57:09.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2144","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263","false",,,,,,,,,,,,,,"false",,"74","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263","Mái chùa che chở hồn dân tộc
Cha xứ đi trước, giặc bước theo sau
Một bên giữ nước, dựng cơ đồ
Một bên rước giặc, bán non sông","6841496413416244226","hoanghung0801","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7331520012882018322~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=706df82d&x-expires=1762228800&x-signature=T8YmO7iBmlUsGcqZjeVqLoV%2BRfs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7519147059059163922","1750687859","2025-06-23T14:10:59.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4230","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263","false",,,,,,,,,,,,,,"false",,"65","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263","Người Việt Nam thì thờ Đinh Bộ Lĩnh chứ k có thờ “lĩnh bộ đinh” 😁","6989083222258123778","investigatep","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b76684724baf94342fcd457a7c0a2eb4~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7831038a&x-expires=1762228800&x-signature=Sw0U4bAHWHONu0qRptyrhjycD7U%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7519111578781172487","1750679593","2025-06-23T11:53:13.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1518","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263","false",,,,,,,,,,,,,,"false",,"38","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263","Cha sứ k phân biệt đc rồng châu âu và rồng châu á","6612558750833508354","_harass_","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e53d846080f07898c8c126dd9605d4d5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cac0c951&x-expires=1762228800&x-signature=%2F%2Ffxtcc7zoqfRIxA6oMY7g3GPGw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7567908559985214216","1762041037","2025-11-01T23:50:37.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263","false",,,,,,,,,,,,,,"false",,"0","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263","tao là con rồng cháu Tiên và là người việt nam","7532662969781044231","tuyentuyen3660","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/d6f523c2b5b0e229ff44234252512703~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=80f5c9e2&x-expires=1762228800&x-signature=4Yt51NiBBRHmx8miFGfAI5euiLM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7519389655146955528","1750744340","2025-06-24T05:52:20.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263","false",,,,,,,,,,,,,,"false",,"0","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263","cha sứ đi trước
thực dân pháp đi sau
và tôi chỉ tin Đức Phật","7424483913823896594","quang.t.aov","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/43dfb6770331c7a5010261cc16158700~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6ce9521d&x-expires=1762228800&x-signature=4juManHtWihVwkRHj%2Bmi6V5Work%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7519182547612402449","1750696118","2025-06-23T16:28:38.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263","false",,,,,,,,,,,,,,"false",,"0","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263","thế mới nói hội công giáo cũng chỉ là ngoại đạo vào Việt Nam đạo phật thì đã theo dân tộc ta hàng nghìn năm r","7143613150208836634","ndt00071","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/086e4deb5f39a1b2ca845ed85367868c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=86f0731f&x-expires=1762228800&x-signature=u67YRivQdW0KDDFufDzq6tED8J0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7519262675067781896","1750714787","2025-06-23T21:39:47.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"156","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263","false",,,,,,,,,,,,,,"false",,"8","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263","đạo công giái ak","6932307670142731265","contrim9620","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9cbe569ef23d244188d701948c6f0015~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=56ce103e&x-expires=1762228800&x-signature=QRMitxnRFbB5E94jlLvsWMdBmHo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7519125984463618824","1750682951","2025-06-23T12:49:11.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"390","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263","false",,,,,,,,,,,,,,"false",,"12","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263","bảo xao đạo Thiên Chúa không ai vào đk công an hay quân đội hay và cơ qua nhà nước toàn lý lịch 3 đời k vào dk là phải!","7452317616792830993","lthng8349","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ba9d025ac5128db84ed77708ea9a27d9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1c9622b3&x-expires=1762228800&x-signature=Li18YZBmxFRhtzcQ2nB3jSRphx4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7519102935974232839","1750677584","2025-06-23T11:19:44.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1092","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263","false",,,,,,,,,,,,,,"false",,"25","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263","cha sứ vậy thì thua","7390583523722396677","chuoi1234_0","https://www.tiktok.com/@vuaminhmang/video/7519019969095552263"
