"avatarThumbnail","cid","createTime","createTimeISO","detailedMentions/0/nickName","detailedMentions/0/profileUrl","detailedMentions/0/secUid","detailedMentions/0/userId","diggCount","input","likedByAuthor","mentions/0","pinnedByAuthor","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/11263ca1720ae742931b10c13fde5693~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3d74b05d&x-expires=1762225200&x-signature=rERl9yo%2F3yIi1oksVNQdvlVkzZM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7568160868090594069","1762099775","2025-11-02T16:09:35.000Z",,,,,"1","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","false",,"false",,"1","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","Rùi ông nói tiếng ông đấy sáng tạo ra lm gì","6904967820003492866","hna.1234","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/a11df73d6cc2878b47994a4998cddd4b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8018b160&x-expires=1762225200&x-signature=STET7kj%2FSZ7LiO1RaqAv3ARcXK8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7495593533644342037","1745203897","2025-04-21T02:51:37.000Z",,,,,"57","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","false",,"false",,"13","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","thằng đầu trọc 🤣🤣🤣","7129005866660971521","hiengl97","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ce310c54b1b08c1647de68b4864a8b9f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a0b4d5c1&x-expires=1762225200&x-signature=2LA9IE7FM3Ulkwtm5lOt9eIeqOg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7540932947394921234","1755760279","2025-08-21T07:11:19.000Z",,,,,"2","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","false",,"false",,"0","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","Dù gì Thích nhật từ cũng là Sư Thầy. Chúng ta nên tôn trọng NÓ","7283656795825882120","kylan.dn","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288"
"https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/3a7ac536ca5fa374cad83f043128478e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c5b64656&x-expires=1762225200&x-signature=nRArf7%2FfCC9C6ZnxIJBZPEp5TlA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7477915873526989575","1741087988","2025-03-04T11:33:08.000Z",,,,,"19","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","false",,"false",,"4","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","mình là cao tăng không nên chửi đạo Thiên chúa","7157203061390984194","user9111184061384","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ab4eb8e8e41542f2367c9f91d5403e26~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2c4a3fa2&x-expires=1762225200&x-signature=iy749ish7JFhH17jy2xl5C%2FAWiM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7458161937973740306","1736488658","2025-01-10T05:57:38.000Z",,,,,"19","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","false",,"false",,"4","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","ta nên tôn trọng . kh nên nói như thế thì còn gì là từ bi ông .","6999269230181352475","_chloe.z_1","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c778eade99e385054af1bd4bbfb7e792~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=91c8f2b9&x-expires=1762225200&x-signature=lHCXMYh8xMzZn8XyWL0jMudcISc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7500616392808743698","1746373360","2025-05-04T15:42:40.000Z",,,,,"1","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","false",,"false",,"0","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","công bằng mà mói sư thích nhật từ am hiểu sâu rộng thật","7096872412869329921","quythong92e1","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b2a686448e1dfc35462f47c51a10402f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a37921e9&x-expires=1762225200&x-signature=tx6N1Rlj%2Fh3QfeyPnPZXLjD92fU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7477593688722768658","1741012964","2025-03-03T14:42:44.000Z",,,,,"10","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","false",,"false",,"3","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","Giảng hay dữ chưa","7458863036972909574","phong.ph908","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/46878254bb23d32d9e46e05ac7996133~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e95eec7d&x-expires=1762225200&x-signature=8auql0AI%2FU5B%2FSSArkrwNxkBDU8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7479114680692294418","1741367100","2025-03-07T17:05:00.000Z",,,,,"17","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","false",,"false","7477593688722768658",,"https://www.tiktok.com/@newlifetv_01/video/7435840644758785288?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","Hay mà","6881875331311092737","hieuhunterx2","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b890d6963ad2d6b988c33b36d83cb0dc~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=660cfce8&x-expires=1762225200&x-signature=v7s7PSjZ%2BeVqrLUZnIyusEsLl6k%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7537113029541397256","1754870891","2025-08-11T00:08:11.000Z",,,,,"3","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","false",,"false",,"0","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","xin Chúa tha tội cho nó vì nó không biết việc mình làm Amen","6553843251853082625","toannguyensz","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/5252898ace8599a19c6e26284fad7706~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2c770253&x-expires=1762225200&x-signature=ibLszxoPQCvXNxkKDqA9YaphDkg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7502469128683864840","1746804730","2025-05-09T15:32:10.000Z",,,,,"3","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","false",,"false",,"0","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","cứ cạo đầu là đi tu à🤣🤣🤣😂😂","7441258207585043474","toditimskippy","https://www.tiktok.com/@newlifetv_01/video/7435840644758785288"
