"avatarThumbnail","cid","createTime","createTimeISO","detailedMentions/0/nickName","detailedMentions/0/profileUrl","detailedMentions/0/secUid","detailedMentions/0/userId","detailedMentions/1/nickName","detailedMentions/1/profileUrl","detailedMentions/1/secUid","detailedMentions/1/userId","detailedMentions/2/nickName","detailedMentions/2/profileUrl","detailedMentions/2/secUid","detailedMentions/2/userId","detailedMentions/3/nickName","detailedMentions/3/profileUrl","detailedMentions/3/secUid","detailedMentions/3/userId","detailedMentions/4/nickName","detailedMentions/4/profileUrl","detailedMentions/4/secUid","detailedMentions/4/userId","detailedMentions/5/nickName","detailedMentions/5/profileUrl","detailedMentions/5/secUid","detailedMentions/5/userId","diggCount","input","likedByAuthor","mentions/0","mentions/1","mentions/2","mentions/3","mentions/4","mentions/5","pinnedByAuthor","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/470429f308c69e7714faf35f93fdb07e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5ffc8d84&x-expires=1762412400&x-signature=4OB%2BKxikD5kmmQPKsyvmFRifutc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7467148511541199634","1738581006","2025-02-03T11:10:06.000Z",,,,,,,,,,,,,,,,,,,,,,,,,"1619","https://www.tiktok.com/@tiin.vn/video/7467119935999757589?is_from_webapp=1&web_id=7473070357060453930","false",,,,,,,"false",,"7","https://www.tiktok.com/@tiin.vn/video/7467119935999757589?is_from_webapp=1&web_id=7473070357060453930","cũng khó nói, ko ai muốn mình như vậy cả","67878695574","dang_khoa2910","https://www.tiktok.com/@tiin.vn/video/7467119935999757589"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/46635910f3a7436172b6ddca99c7e0a6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6003a7d2&x-expires=1762412400&x-signature=nYkaFHAYIYqczWdbBt7YCpLzkpY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7467160446013948679","1738583786","2025-02-03T11:56:26.000Z",,,,,,,,,,,,,,,,,,,,,,,,,"1025","https://www.tiktok.com/@tiin.vn/video/7467119935999757589?is_from_webapp=1&web_id=7473070357060453930","false",,,,,,,"false",,"26","https://www.tiktok.com/@tiin.vn/video/7467119935999757589?is_from_webapp=1&web_id=7473070357060453930","nhờ mấy video này mới biết vẫn còn nhiều ng mang tư tưởng hạn hẹp thế nhỉ=))","7292245839383856129","w10zpr","https://www.tiktok.com/@tiin.vn/video/7467119935999757589"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b11fd49800f4e33d1759bcb8adbc9fef~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9c5d32fc&x-expires=1762412400&x-signature=IVxYwsUHCbETZXY8YdZvIcPkbBM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7467121622345564935","1738574751","2025-02-03T09:25:51.000Z",,,,,,,,,,,,,,,,,,,,,,,,,"611","https://www.tiktok.com/@tiin.vn/video/7467119935999757589?is_from_webapp=1&web_id=7473070357060453930","false",,,,,,,"false",,"4","https://www.tiktok.com/@tiin.vn/video/7467119935999757589?is_from_webapp=1&web_id=7473070357060453930","K biết có ai như t k! T là 1 đứa gái, k thuộc LGBT như t luôn thấy thương các b LGBT thật sự! Mỗi lần nc với mấy b mình luôn cố gắng dùng từ ngữ cho mấy b hiểu là mình đang rất rất tôn trọng & quý cac","6876689466858996737","thingsilike1","https://www.tiktok.com/@tiin.vn/video/7467119935999757589"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e25a98342c78f0d0e297fe4ebee6d8da~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4504a3dc&x-expires=1762412400&x-signature=snCU1op0vcTwYoA3G134QBia6%2Fo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7467202822971818760","1738593651","2025-02-03T14:40:51.000Z",,,,,,,,,,,,,,,,,,,,,,,,,"356","https://www.tiktok.com/@tiin.vn/video/7467119935999757589?is_from_webapp=1&web_id=7473070357060453930","false",,,,,,,"false",,"22","https://www.tiktok.com/@tiin.vn/video/7467119935999757589?is_from_webapp=1&web_id=7473070357060453930","quan điểm cá nhân thôi.tôi có 2 ctrai 1 cgai cũng là con cả trong nhà.nhưng nếu sau này con tôi mà như vậy tôi sẽ ủng hộ hết mình.miễn sao con mình hp là được","6604209581440991233","letu9696","https://www.tiktok.com/@tiin.vn/video/7467119935999757589"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7a9b4a9b1d24e8d4b0a0033cea61f403~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f9c9f840&x-expires=1762412400&x-signature=RPkxX3Lk7ZHWKU0DdMRpZAHFejM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7467148146172707592","1738580933","2025-02-03T11:08:53.000Z",,,,,,,,,,,,,,,,,,,,,,,,,"591","https://www.tiktok.com/@tiin.vn/video/7467119935999757589?is_from_webapp=1&web_id=7473070357060453930","false",,,,,,,"false",,"19","https://www.tiktok.com/@tiin.vn/video/7467119935999757589?is_from_webapp=1&web_id=7473070357060453930","Đọc cmt và lặng lẽ đi ra. Vì những câu nói đó nó quá là quen thuộc rồi. 😔","6794784460136547329","hinh.ba","https://www.tiktok.com/@tiin.vn/video/7467119935999757589"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/18e9f4a89666d7721fd0e6699e708db7~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4282392d&x-expires=1762412400&x-signature=NSZFFCicys3kC52KcYTH0TumUCY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7467131347870860040","1738577014","2025-02-03T10:03:34.000Z",,,,,,,,,,,,,,,,,,,,,,,,,"873","https://www.tiktok.com/@tiin.vn/video/7467119935999757589?is_from_webapp=1&web_id=7473070357060453930","false",,,,,,,"false",,"17","https://www.tiktok.com/@tiin.vn/video/7467119935999757589?is_from_webapp=1&web_id=7473070357060453930","Yêu ai cũng được. Hạnh phúc là được🥰🥰","7103911553720550402","ann.a.in","https://www.tiktok.com/@tiin.vn/video/7467119935999757589"
"https://p19-common-sign.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b584a855&x-expires=1762412400&x-signature=Ysur8aWyLu1hPZdUWgMyorRYysA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7467120670037574408","1738574531","2025-02-03T09:22:11.000Z",,,,,,,,,,,,,,,,,,,,,,,,,"473","https://www.tiktok.com/@tiin.vn/video/7467119935999757589?is_from_webapp=1&web_id=7473070357060453930","false",,,,,,,"false",,"0","https://www.tiktok.com/@tiin.vn/video/7467119935999757589?is_from_webapp=1&web_id=7473070357060453930","lấy ai thì lấy miễn bạn hạnh phúc được rồi. bây giờ đâu ai con mình nữa đâu.","7451079910624543745","th09739","https://www.tiktok.com/@tiin.vn/video/7467119935999757589"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/46e29b9ba2d7054fc44f688117f15a3f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=88644353&x-expires=1762412400&x-signature=KXgbvGPXEwhIQF%2FDp0fupLUsj%2F8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7467128772622418696","1738576411","2025-02-03T09:53:31.000Z",,,,,,,,,,,,,,,,,,,,,,,,,"165","https://www.tiktok.com/@tiin.vn/video/7467119935999757589?is_from_webapp=1&web_id=7473070357060453930","false",,,,,,,"false",,"19","https://www.tiktok.com/@tiin.vn/video/7467119935999757589?is_from_webapp=1&web_id=7473070357060453930","bớt 1 đối thủ cạnh tranh","7138799861298889755","haidang_20077","https://www.tiktok.com/@tiin.vn/video/7467119935999757589"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/3a2b0e31c39f9c7f703f5a6f87ab65b0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=09ae3381&x-expires=1762412400&x-signature=BvA2b0FdeswKx7SXANNK5zw1O%2F8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7467121473238270727","1738574719","2025-02-03T09:25:19.000Z",,,,,,,,,,,,,,,,,,,,,,,,,"104","https://www.tiktok.com/@tiin.vn/video/7467119935999757589?is_from_webapp=1&web_id=7473070357060453930","false",,,,,,,"false",,"2","https://www.tiktok.com/@tiin.vn/video/7467119935999757589?is_from_webapp=1&web_id=7473070357060453930","Mẹ mk nói: “thấy tội những người như v , vì sinh ra ko đúng với con người thật của họ “ Mk thấy ko có j tội lỗi , mẹ thật sự hiểu và thương con thì khi bt sẽ thương con hơn","7429656874288432135","tasha5090","https://www.tiktok.com/@tiin.vn/video/7467119935999757589"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/125fc45fe45b5a37bb738e86e01ca3a9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b0c838f3&x-expires=1762412400&x-signature=WCNL5W%2F9pR4lFJ9B0SgU1aQNpDI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7467197225623241480","1738592352","2025-02-03T14:19:12.000Z",,,,,,,,,,,,,,,,,,,,,,,,,"88","https://www.tiktok.com/@tiin.vn/video/7467119935999757589?is_from_webapp=1&web_id=7473070357060453930","false",,,,,,,"false",,"8","https://www.tiktok.com/@tiin.vn/video/7467119935999757589?is_from_webapp=1&web_id=7473070357060453930","đọc cmt mà chán ghê , sự kì thị nó nằm sâu trong mỗi con người","7033300961334641665","cobethukemdaidoancuoi123","https://www.tiktok.com/@tiin.vn/video/7467119935999757589"
