"avatarThumbnail","cid","createTime","createTimeISO","detailedMentions/0/nickName","detailedMentions/0/profileUrl","detailedMentions/0/secUid","detailedMentions/0/userId","detailedMentions/1/nickName","detailedMentions/1/profileUrl","detailedMentions/1/secUid","detailedMentions/1/userId","detailedMentions/2/nickName","detailedMentions/2/profileUrl","detailedMentions/2/secUid","detailedMentions/2/userId","detailedMentions/3/nickName","detailedMentions/3/profileUrl","detailedMentions/3/secUid","detailedMentions/3/userId","detailedMentions/4/nickName","detailedMentions/4/profileUrl","detailedMentions/4/secUid","detailedMentions/4/userId","detailedMentions/5/nickName","detailedMentions/5/profileUrl","detailedMentions/5/secUid","detailedMentions/5/userId","detailedMentions/6/nickName","detailedMentions/6/profileUrl","detailedMentions/6/secUid","detailedMentions/6/userId","diggCount","input","likedByAuthor","mentions/0","mentions/1","mentions/2","mentions/3","mentions/4","mentions/5","mentions/6","pinnedByAuthor","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/4a989bba52899c7302a273a8d711099e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d88a2eec&x-expires=1762405200&x-signature=fVV1%2FrGbHM0Ooxc7kYPdGb0O37I%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7452699982058128135","1735216943","2024-12-26T12:42:23.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"207","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231","false",,,,,,,,"false",,"0","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231","Tôi rất muốn bởi vì tôi muốn bên cô ấy cả đời 🥰","7397945047323034632","nguyn.thu0311","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/3ee13f82676cd9ac9496775ad750d34c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f8ffe166&x-expires=1762405200&x-signature=1hGXnCLCIhBNo0tAiofVaXwFgPU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7452273024303530770","1735117535","2024-12-25T09:05:35.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"197","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231","false",,,,,,,,"false",,"6","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231","Hai nguoi thấy ở bên nhau hp là được rồi. Còn để liên quan đến luật .đến giấy tờ thì tôi nghĩ không nên. Vì yêu nhau liệu có mấy đôi ở bên nhau cả đời","7317663042836907009","tun.anh1098","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/7194837180316352538~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=16c3aa6a&x-expires=1762405200&x-signature=h47G0lc1%2F772augCrsqmrSXr6cY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7454260186314261268","1735580213","2024-12-30T17:36:53.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231","false",,,,,,,,"false",,"0","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231","đồng ý, việc được nhà nước công nhận trên mặt pháp luật cũng là 1 phần giúp các mối quan hệ được củng cố hơn, công nhận nhiều hơn nên tôi hoàn toàn ủng hộ","7194836701725361153","nghphan4","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/44b305cb47c34162c4bcd68ee309889c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=236e8533&x-expires=1762405200&x-signature=%2FwpYE6iLYLVJtVs1SebMHK5SjyE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7452693422198309653","1735215413","2024-12-26T12:16:53.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231","false",,,,,,,,"false",,"0","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231","tôi rất muốn","7076753938389844993","phamdiep838","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/05b3ab1907306463071165d06b9de949~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2bd8d1d2&x-expires=1762405200&x-signature=31CNthP8Ir3CLtCgJdJIDHchOb4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7465737997024330504","1738252597","2025-01-30T15:56:37.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231","false",,,,,,,,"false",,"0","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231","tớ đồg ý..đgian bởi vì tình yêu ko có quy định,ko có hình thù,hạnh phúc mới chính là tình yêu 🤗❤️","7045262420260570113","mailatuongtuong5","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/74102c96dcbb091bd9db4344f79f4214~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d7b1cb7c&x-expires=1762405200&x-signature=JGehpwKHW2wP%2BlQ4UeFzwazdVq8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7452334810464322311","1735131914","2024-12-25T13:05:14.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231","false",,,,,,,,"false",,"0","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231","rất muốn","6563458821095620609","belua20006","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/98fe765b32451266e102be660cd3ce7f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=19bdb7cc&x-expires=1762405200&x-signature=NE2Uq8Wn8PLjinDuMfRnUVvAshA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7465143450456294162","1738114197","2025-01-29T01:29:57.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231","false",,,,,,,,"false",,"0","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231","tôi rất muốn","7306047264119981064","noixaumoisongdc","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/4771faf5a963b56b03d02391d3df0ef5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=faddefb3&x-expires=1762405200&x-signature=KftXHve%2BFt7YMy7uW8ve7qNPrpA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7478245458319180551","1741164721","2025-03-05T08:52:01.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231","false",,,,,,,,"false",,"0","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231","VN k đc, nhma Thái thì đc, ai LG bay sang đó cứi hí hí","7030286006432007169","tranlenhungoc.22","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/f1974b00315d37b772e588517f4c79f0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6910e715&x-expires=1762405200&x-signature=tZj4Hjg3a7IB%2B5TeLub4HTdMb3g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7452318934194225928","1735128220","2024-12-25T12:03:40.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231","false",,,,,,,,"false",,"0","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231","rất muốn","7043403484490597377","thnhn.224","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/4de275545ebae78d6cd34e609a29eb71~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=78eae58e&x-expires=1762405200&x-signature=NghVPTAlXLn%2FAlC%2FC56KbyY5eKk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7452913569638794005","1735266675","2024-12-27T02:31:15.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231","false",,,,,,,,"false",,"0","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231","rất muốn","7168640349140157442","htrannay1","https://www.tiktok.com/@lgbt.vn/video/7452181084185300231"
