"avatarThumbnail","cid","createTime","createTimeISO","detailedMentions/0/nickName","detailedMentions/0/profileUrl","detailedMentions/0/secUid","detailedMentions/0/userId","detailedMentions/1/nickName","detailedMentions/1/profileUrl","detailedMentions/1/secUid","detailedMentions/1/userId","detailedMentions/2/nickName","detailedMentions/2/profileUrl","detailedMentions/2/secUid","detailedMentions/2/userId","detailedMentions/3/nickName","detailedMentions/3/profileUrl","detailedMentions/3/secUid","detailedMentions/3/userId","diggCount","input","likedByAuthor","mentions/0","mentions/1","mentions/2","mentions/3","pinnedByAuthor","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/6b13b82a9918fee0c966f68a9a0b8eb1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=594adf8b&x-expires=1762750800&x-signature=ovK09V8DEEKjMU%2FcDr%2FgrvZ9%2F%2FQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7561076828455535367","1760450390","2025-10-14T13:59:50.000Z",,,,,,,,,,,,,,,,,"2515","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"37","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","Lịch sử hh 66666 nhất","7064018221075563521","usere4ri3v817t","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/1f04e2abb79e476c65fef0e8b16fab71~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=05787d5c&x-expires=1762750800&x-signature=W7I8TuSFY0HMP%2FK7A8Pqj42MYo8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7561088179081642760","1760453034","2025-10-14T14:43:54.000Z",,,,,,,,,,,,,,,,,"288","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"0","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","6 nhất trong lịch sử hh","6814075397483922434","suoitronglanh88","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/787f044ddebcc2c6fcc795a4ce482d44~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d7d443d8&x-expires=1762750800&x-signature=tu1VAJ6eqEQMugftZkB86%2BAtx24%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7561060190775558919","1760446518","2025-10-14T12:55:18.000Z",,,,,,,,,,,,,,,,,"2271","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"92","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","Bn này đúng lịch sử hh của nc vn luôn. Chưa từng thấy.","6896246590027138049","phamdong1212no","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/6651f0e1f291126460e762fdf397ae57~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7b8d5e12&x-expires=1762750800&x-signature=16VcVgv10bZ5EQXvql9wVCqfgH4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7563871286080258817","1761101037","2025-10-22T02:43:57.000Z",,,,,,,,,,,,,,,,,"652","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"11","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","Nó 6. Mà tụi fan cứ bảo mặt rất chi MingXi :)) chòi oiii t cười chớt :))))))))))))","6652682639038251010","ndung275","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2082515c0599863de05211f0e8e24bf3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=463ba02c&x-expires=1762750800&x-signature=LY1APc0ZGTEJPAH%2BKCh6SwQglBQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7561116496626402066","1760459625","2025-10-14T16:33:45.000Z",,,,,,,,,,,,,,,,,"315","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"13","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","6 đau đớn","6835945548043273218","user456476008","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/de31c90309d11d6741da49b1aadf9399~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7c55357b&x-expires=1762750800&x-signature=kjcbzYZn%2Fw0TEfhb2imd%2B6QDd1Q%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7563936134402573064","1761116128","2025-10-22T06:55:28.000Z",,,,,,,,,,,,,,,,,"112","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"3","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","Nghĩ sao so với Ming Xi mấy má 🤣🤣","6563900435105873921","neityuhtgnourt","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c15efb1cab483afa0bc208b20eb3fb1f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=411c9efd&x-expires=1762750800&x-signature=qqAyFm95EilfiAufDNmjkTbjreg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7561325477471372050","1760508286","2025-10-15T06:04:46.000Z",,,,,,,,,,,,,,,,,"942","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"49","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","nói 6 mà sợ bị táp 😁😁😁","6745258029716210690","dangkhoa.kg68","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/7508b577f24f0f81e6ed0589ce3a8039~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cbe6d35f&x-expires=1762750800&x-signature=%2BmR9WBxNIqaEiZU2rlY0OhFwEMc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7561257474201633543","1760492458","2025-10-15T01:40:58.000Z",,,,,,,,,,,,,,,,,"29","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"2","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","6 thiệt","6872184661160199170","thutam01974","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/ec7f2e8b6eeb644c9a803aa5c86c4b4c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=235b32f2&x-expires=1762750800&x-signature=Dm%2FnQmrdJHMqA5AITIE3z5d%2BrSY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7563297387624710930","1760967404","2025-10-20T13:36:44.000Z",,,,,,,,,,,,,,,,,"166","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"1","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","Nói thật 666666 thật lòng","7241932777678914565","domymy3575","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/069a252f5cda2e4716b7929a55b596e6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9b78ad20&x-expires=1762750800&x-signature=On%2FYkm0AwL05%2B5GwLBLe3T8K0QQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7561266628307354376","1760494586","2025-10-15T02:16:26.000Z",,,,,,,,,,,,,,,,,"110","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"4","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","6 nhất lịch sử luôn ý","7297166182627689480","phng.cute288","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/d6a4b92248d32fe08d36548ab72b6f46~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=896d90cb&x-expires=1762750800&x-signature=fHZ%2FOsNbSvIiEHKn9j9PCrH4De0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7563303053730841365","1760968723","2025-10-20T13:58:43.000Z",,,,,,,,,,,,,,,,,"90","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"2","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","Thiệt tình là thua mấy người đẹp ở đoàn lô tô tân thời luôn","7007351823577777179","phungan2910","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/8e5b4b63f583435e32fc07bf38936b74~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c42b967b&x-expires=1762750800&x-signature=vlyglde4Lc9sXvtGTjTfvfQWVps%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7563232056793547538","1760952195","2025-10-20T09:23:15.000Z",,,,,,,,,,,,,,,,,"13","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"0","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","Tay nghề a makeup cũng đẳng cấp mà không cứu nỗi 😂","7437538863403009032","namreview55","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/f6a14b2c9cccc385d408838aff3552f9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=464f28c6&x-expires=1762750800&x-signature=XxXmhfXmtMbafhWcBAKUVmHMPuc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7563264253789225746","1760959691","2025-10-20T11:28:11.000Z",,,,,,,,,,,,,,,,,"15","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"0","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","Hh 6 nhất vn","7393596742183011334","bunny22106","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ae9cd76c22f4a651b86f13cd1116a9af~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d1606b32&x-expires=1762750800&x-signature=UYtg6iUCncrWi%2FeXFkcLE1XA1WE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7561265954971714312","1760494432","2025-10-15T02:13:52.000Z",,,,,,,,,,,,,,,,,"51","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"1","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","6 nhất lịch sử hoa hậu","7109699659984126978","amytran123","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-aiso/b184a88c04b17325cc11debc13ccf72b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=76719ad8&x-expires=1762750800&x-signature=96ljYxAvylRJbqU9x%2FXne8m8Kuw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7563207532689408776","1760946484","2025-10-20T07:48:04.000Z",,,,,,,,,,,,,,,,,"10","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"1","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","k cứu nổi 😂, make lên vẫn vẫn","75990633611","cuarangme77","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e3d4fcb94dfbb93e13faaf61c01b6d3b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0b9266cc&x-expires=1762750800&x-signature=T2jrRi6U0WbGujxte42Ujjak3xA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7561337355446715144","1760511053","2025-10-15T06:50:53.000Z",,,,,,,,,,,,,,,,,"13","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"0","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","Makeup cũng k cứu nổi 😅","6690760433999676417","choco_pie_18","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/f94470b24121f3f730b5cde2b6819e26~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e76b9ce1&x-expires=1762750800&x-signature=lbGG6FpzdH2KpLl3B5xXCfy0gmw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7563297286039028487","1760967381","2025-10-20T13:36:21.000Z",,,,,,,,,,,,,,,,,"6","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"0","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","Tui hok nhìu ch đâu nhưng thấy 6 đớn luôn ák hời😳😳","7557342551331832843","anna..nails2","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/2242822509e865b6945e37c182754db6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=71e52f58&x-expires=1762750800&x-signature=7n%2FXJV8KoLtjDd2F2yr3DUNvbew%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7563203640271078152","1760945580","2025-10-20T07:33:00.000Z",,,,,,,,,,,,,,,,,"29","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"0","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","Sen Vàng chắc bà này 6 nhất","6900406864723411974","namsin204","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/6bb56b197ac5d460fc2138a171de0d9d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4280ba1c&x-expires=1762750800&x-signature=M37j7uPJeMKY7t8miUS97ZsL0sA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7561391409448174354","1760523634","2025-10-15T10:20:34.000Z",,,,,,,,,,,,,,,,,"0","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"0","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","Đẹp bình dị nhen, mình đã dc vậy chưa mà các b cứ chê hoài dị","7289395733857338370","tr.huu.san","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/01fdf8061d9462ba9e06957b08dee624~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5ee3a26c&x-expires=1762750800&x-signature=fsdXRovxLsDlh5j9VZmZBMwfykg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7561051265452835605","1760444443","2025-10-14T12:20:43.000Z",,,,,,,,,,,,,,,,,"259","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"13","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","ối giồi hú hồn hà","7489815190276637712","m.m908838","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/aa8ddd62a198638992f73312c9a7f481~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6a177c09&x-expires=1762750800&x-signature=v8QdMtKInU2ZI7YpX6CNnjiTwTU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7561112178297717520","1760458627","2025-10-14T16:17:07.000Z",,,,,,,,,,,,,,,,,"5","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"0","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","6 lạ","6907594118814352386","userax67flybku","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/368a18adb0891a5d9e6c2e15fbb45782~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=04c5f580&x-expires=1762750800&x-signature=GQhE4c9sbvRTpUawnOX9xF3cD%2Fw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7561093005911819026","1760454156","2025-10-14T15:02:36.000Z",,,,,,,,,,,,,,,,,"166","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","false",,,,,"false",,"4","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327","Hay do tiêu chuẩn về hh của tui quá khắt khe nhỉ 😳😳","7092766008452678657","hn.mai2910","https://www.tiktok.com/@quannguyenpuleofficial/video/7561019894448344327"
