author,text,likeCount,publishedAt,video_id
@ComeOutLGBTVietnam_MCV,Xem anh top đẹp trai nuôi con 1 mình: https://youtu.be/aaz_GPyTaj8,15,2023-07-19T02:25:14Z,u-pEsQYy3EE
@OanhNguyenThi-o5m,", các bậc phụ huynh hãy mở lòng với con mình bởi con mình nó cũng không muốn vậy hãy mở lòng ra với con mình để cho hai bên đó khó ❤🎉",0,2025-09-30T02:26:32Z,u-pEsQYy3EE
@trang-anhnguyen7062,"Những chương trình này rất thú vị, mình hay coi chương trình nam nữ nhưng hôm nay tìm được chương trình này rất vui ❤",0,2025-05-21T01:09:27Z,u-pEsQYy3EE
@LoanBui-z4h,Mình mong các ông bố bà mẹ của bạn này cũng thương con như những bố mẹ các bạn khác đi vì họ đâu có muốn thế,0,2024-08-04T13:00:54Z,u-pEsQYy3EE
@DayVan-n2r,Ko thích cũng ko làm cái lồng gì người ta,0,2024-04-09T08:04:49Z,u-pEsQYy3EE
@BảyNguyễn-v2i,Đẹp đôi quá chúc 2 em hp,0,2024-04-08T13:29:33Z,u-pEsQYy3EE
@NgocKim-sg1xs,Thế hiện tình cảm nên ở trong phòng the hay chỉ ít là ở nhà nhất là nhg người đồng tính,0,2024-04-08T04:23:21Z,u-pEsQYy3EE
@NgocKim-sg1xs,Thương là một chuyện nhg cũng nên theo nguyên tắc của người Việt,0,2024-04-08T03:36:30Z,u-pEsQYy3EE
@NgocKim-sg1xs,Thương là một chuyện nhg cũng nên theo nguyên tắc của người Việt,0,2024-04-08T03:36:00Z,u-pEsQYy3EE
@NgocKim-sg1xs,Thế hiện tình cảm cũng đc nhg ở trong phòng the hay ít ra là ở nhà noi có người hỏi  bị kỷ thứ nhất lại là dòng tính,0,2024-04-08T03:34:53Z,u-pEsQYy3EE
@haiyentran3056,Bạn áo hoa yêu quá hiểu chuyện và khi nghe bạn bên nghe kĩ lắm rồi có lẽ cứ như là đây chính là người mình cần thương quá rất nghiêm túc hơn cả người BT,1,2024-04-06T14:00:29Z,u-pEsQYy3EE
@binhnguyenthanh3120,Những nụ hôn bẩn thỉu.,0,2024-04-06T10:51:01Z,u-pEsQYy3EE
